Account No,DATE,TRANSACTION DETAILS,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
123456,2025-10-01,POS Purchase,2025-10-01,919,0,50033
123456,2025-10-02,Salary Deposit,2025-10-02,0,0,50033
123456,2025-10-03,POS Purchase,2025-10-03,0,0,50033
123456,2025-10-04,Mobile Recharge,2025-10-04,0,0,50033
123456,2025-10-05,ATM Withdrawal,2025-10-05,0,0,50033
123456,2025-10-06,Salary Deposit,2025-10-06,0,0,50033
123456,2025-10-07,Salary Deposit,2025-10-07,0,4964,54997
123456,2025-10-08,Salary Deposit,2025-10-08,0,4179,59176
123456,2025-10-09,ATM Withdrawal,2025-10-09,5331,0,53845
123456,2025-10-10,Bill Payment,2025-10-10,0,0,53845
123456,2025-10-11,Refund Received,2025-10-11,0,0,53845
123456,2025-10-12,Bill Payment,2025-10-12,0,0,53845
123456,2025-10-13,POS Purchase,2025-10-13,3139,0,50706
123456,2025-10-14,POS Purchase,2025-10-14,11863,0,38843
123456,2025-10-15,Refund Received,2025-10-15,0,855,39698
123456,2025-10-16,POS Purchase,2025-10-16,0,0,39698
123456,2025-10-17,Refund Received,2025-10-17,0,0,39698
123456,2025-10-18,POS Purchase,2025-10-18,0,0,39698
123456,2025-10-19,Refund Received,2025-10-19,0,0,39698
123456,2025-10-20,POS Purchase,2025-10-20,12555,0,27143
123456,2025-10-21,Check Deposit,2025-10-21,0,0,27143
123456,2025-10-22,Bill Payment,2025-10-22,0,0,27143
123456,2025-10-23,Bill Payment,2025-10-23,0,0,27143
123456,2025-10-24,Salary Deposit,2025-10-24,0,0,27143
123456,2025-10-25,Online Transfer,2025-10-25,0,0,27143
123456,2025-10-26,Online Transfer,2025-10-26,15247,0,11896
123456,2025-10-27,Refund Received,2025-10-27,0,2299,14195
123456,2025-10-28,ATM Withdrawal,2025-10-28,0,0,14195
123456,2025-10-29,Bill Payment,2025-10-29,0,0,14195
123456,2025-10-30,Mobile Recharge,2025-10-30,0,0,14195
789012,2025-10-01,POS Purchase,2025-10-01,7013,0,31760
789012,2025-10-02,Salary Deposit,2025-10-02,0,4589,36349
789012,2025-10-03,Check Deposit,2025-10-03,0,1670,38019
789012,2025-10-04,Online Transfer,2025-10-04,8181,0,29838
789012,2025-10-05,Mobile Recharge,2025-10-05,0,0,29838
789012,2025-10-06,Mobile Recharge,2025-10-06,0,0,29838
789012,2025-10-07,Bill Payment,2025-10-07,0,0,29838
789012,2025-10-08,Salary Deposit,2025-10-08,0,1633,31471
789012,2025-10-09,POS Purchase,2025-10-09,0,0,31471
789012,2025-10-10,Online Transfer,2025-10-10,5342,0,26129
789012,2025-10-11,POS Purchase,2025-10-11,12708,0,13421
789012,2025-10-12,Check Deposit,2025-10-12,0,4834,18255
789012,2025-10-13,ATM Withdrawal,2025-10-13,3853,0,14402
789012,2025-10-14,Bill Payment,2025-10-14,0,0,14402
789012,2025-10-15,POS Purchase,2025-10-15,9717,0,4685
789012,2025-10-16,Online Transfer,2025-10-16,0,0,4685
789012,2025-10-17,Refund Received,2025-10-17,0,0,4685
789012,2025-10-18,POS Purchase,2025-10-18,0,0,4685
789012,2025-10-19,Online Transfer,2025-10-19,0,0,4685
789012,2025-10-20,ATM Withdrawal,2025-10-20,19726,0,0
789012,2025-10-21,Check Deposit,2025-10-21,0,0,0
789012,2025-10-22,Bill Payment,2025-10-22,0,0,0
789012,2025-10-23,Refund Received,2025-10-23,0,0,0
789012,2025-10-24,Salary Deposit,2025-10-24,0,0,0
789012,2025-10-25,Check Deposit,2025-10-25,0,0,0
789012,2025-10-26,Online Transfer,2025-10-26,0,0,0
